x, n, part_a, part_b, actual, error_a, error_b
0.0, 10, 1.000000000, 1.000000000, 1.000000000, 0.000000000, 0.000000000
0.0, 12, 1.000000000, 1.000000000, 1.000000000, 0.000000000, 0.000000000
0.0, 14, 1.000000000, 1.000000000, 1.000000000, 0.000000000, 0.000000000
0.0, 16, 1.000000000, 1.000000000, 1.000000000, 0.000000000, 0.000000000
0.0, 18, 1.000000000, 1.000000000, 1.000000000, 0.000000000, 0.000000000
0.0, 20, 1.000000000, 1.000000000, 1.000000000, 0.000000000, 0.000000000
0.5, 10, 0.877582550, 0.877582550, 0.877582562, 0.000000012, 0.000000012
0.5, 12, 0.877582550, 0.877582550, 0.877582562, 0.000000012, 0.000000012
0.5, 14, 0.877582550, 0.877582550, 0.877582562, 0.000000012, 0.000000012
0.5, 16, 0.877582550, 0.877582550, 0.877582562, 0.000000012, 0.000000012
0.5, 18, 0.877582550, 0.877582550, 0.877582562, 0.000000012, 0.000000012
0.5, 20, 0.877582550, 0.877582550, 0.877582562, 0.000000012, 0.000000012
1.0, 10, 0.540302277, 0.540302217, 0.540302305, 0.000000028, 0.000000088
1.0, 12, 0.540302277, 0.540302217, 0.540302305, 0.000000028, 0.000000088
1.0, 14, 0.540302277, 0.540302217, 0.540302305, 0.000000028, 0.000000088
1.0, 16, 0.540302277, 0.540302217, 0.540302305, 0.000000028, 0.000000088
1.0, 18, 0.540302277, 0.540302217, 0.540302305, 0.000000028, 0.000000088
1.0, 20, 0.540302277, 0.540302217, 0.540302305, 0.000000028, 0.000000088
1.5, 10, 0.070737123, 0.070737243, 0.070737202, 0.000000079, -0.000000041
1.5, 12, 0.070737123, 0.070737243, 0.070737202, 0.000000079, -0.000000041
1.5, 14, 0.070737123, 0.070737243, 0.070737202, 0.000000079, -0.000000041
1.5, 16, 0.070737123, 0.070737243, 0.070737202, 0.000000079, -0.000000041
1.5, 18, 0.070737123, 0.070737243, 0.070737202, 0.000000079, -0.000000041
1.5, 20, 0.070737123, 0.070737243, 0.070737202, 0.000000079, -0.000000041
2.0, 10, -0.416146755, -0.416146874, -0.416146836, -0.000000081, 0.000000038
2.0, 12, -0.416146755, -0.416146874, -0.416146836, -0.000000081, 0.000000038
2.0, 14, -0.416146755, -0.416146874, -0.416146836, -0.000000081, 0.000000038
2.0, 16, -0.416146755, -0.416146874, -0.416146836, -0.000000081, 0.000000038
2.0, 18, -0.416146755, -0.416146874, -0.416146836, -0.000000081, 0.000000038
2.0, 20, -0.416146755, -0.416146874, -0.416146836, -0.000000081, 0.000000038
2.5, 10, -0.801143646, -0.801143885, -0.801143616, 0.000000030, 0.000000269
2.5, 12, -0.801143646, -0.801143885, -0.801143616, 0.000000030, 0.000000269
2.5, 14, -0.801143646, -0.801143885, -0.801143616, 0.000000030, 0.000000269
2.5, 16, -0.801143646, -0.801143885, -0.801143616, 0.000000030, 0.000000269
2.5, 18, -0.801143646, -0.801143885, -0.801143616, 0.000000030, 0.000000269
2.5, 20, -0.801143646, -0.801143885, -0.801143616, 0.000000030, 0.000000269
3.0, 10, -0.989992619, -0.989992619, -0.989992496, 0.000000123, 0.000000123
3.0, 12, -0.989992619, -0.989992619, -0.989992496, 0.000000123, 0.000000123
3.0, 14, -0.989992619, -0.989992619, -0.989992496, 0.000000123, 0.000000123
3.0, 16, -0.989992619, -0.989992619, -0.989992496, 0.000000123, 0.000000123
3.0, 18, -0.989992619, -0.989992619, -0.989992496, 0.000000123, 0.000000123
3.0, 20, -0.989992619, -0.989992619, -0.989992496, 0.000000123, 0.000000123
3.5, 10, -0.936456680, -0.936456680, -0.936456688, -0.000000008, -0.000000008
3.5, 12, -0.936456680, -0.936456680, -0.936456688, -0.000000008, -0.000000008
3.5, 14, -0.936456680, -0.936456680, -0.936456688, -0.000000008, -0.000000008
3.5, 16, -0.936456680, -0.936456680, -0.936456688, -0.000000008, -0.000000008
3.5, 18, -0.936456680, -0.936456680, -0.936456688, -0.000000008, -0.000000008
3.5, 20, -0.936456680, -0.936456680, -0.936456688, -0.000000008, -0.000000008
4.0, 10, -0.653643608, -0.653643608, -0.653643620, -0.000000012, -0.000000012
4.0, 12, -0.653643608, -0.653643608, -0.653643620, -0.000000012, -0.000000012
4.0, 14, -0.653643608, -0.653643608, -0.653643620, -0.000000012, -0.000000012
